stock_id,name,market,industry,score,rev_2021,rev_2022,rev_2023,rev_2024,rev_2025,yoy_2022,yoy_2023,yoy_2024,yoy_2025,yoy_2026,gm_2021,gm_2025,gm_delta,opm_2021,opm_2025,opm_delta,eps_2025,roe,npm_2025,price,pe,pb,dy,mcap_yi,cr,ca_ratio,px_2021,px_2023,px_2025,px_last,ret_23to25,ret_25to_now,dps_ttm
6170,統振,otc,通信網路業,90.4966316808771,2976984.0,2468794.0,2261387.0,2905937.0,3186452.0,-17.07063255966441,-8.401146470705944,28.502419090584663,9.653168668143874,-1.42,21.216539961249374,31.305885040791452,10.089345079542078,4.8232372092023335,9.817376819107897,4.994139609905564,4.49,20.413340296948444,13.738163951630215,48.65,10.835189309576837,2.221461187214612,8.146639764374456,47.317008486999995,1.6662526992666755,0.8349718752722107,35.599998474121094,53.29999923706055,48.79999923706055,49.099998474121094,-8.442776856310086,0.6147525445711732,4.0
6117,迎廣,sii,電腦及週邊設備業,50.362142779842415,2311434.0,2397664.0,2368855.0,2882727.0,3222227.0,3.7305845635220436,-1.201544503316565,21.69284316684643,11.777043056800029,4.88,16.799311596177958,31.069474621123838,14.27016302494588,-3.6000162669580873,14.470395785275214,18.0704120522333,3.77,15.569301561097765,10.73586683992158,62.4,13.22,2.61,3.21,57.748334592,1.6486754089323765,0.3963509085265249,15.949999809265137,72.30000305175781,74.80000305175781,62.5,3.4578145151810125,-16.443853676378637,1.999442
3484,崧騰,otc,電子零組件業,49.242493727105135,6912009.0,5976626.0,3413668.0,4351267.0,4630799.0,-13.532722541304565,-42.88302463630818,27.46602774493594,6.424151861974914,-2.29,22.160445682290057,25.015359120531897,2.854913438241841,9.496920504588463,8.998015245317276,-0.49890525927118645,4.27,10.102610077765755,7.200528461719024,50.3,11.779859484777518,1.214389183969097,4.820863832780528,39.650579066999995,2.460266431537941,0.7375403994526337,79.70329284667969,42.650001525878906,50.0,50.70000076293945,17.233290061341044,1.4000015258789134,2.444178
4571,鈞興-KY,sii,電機機械,37.29250088467971,2736873.0,2443385.0,2348849.0,3061903.0,3064957.0,-10.723478948420329,-3.8690587033971324,30.357592165354184,0.0997418925419824,3.88,32.34932713355717,32.770834957880325,0.42150782432315737,15.861094029573167,17.349998711238037,1.4889046816648701,9.61,15.75160479550284,16.247568889220958,158.5,17.59,2.44,3.32,84.032127275,3.7067935887441203,0.7420939164097207,90.0,84.4000015258789,187.0,161.0,121.56397703696919,-13.903743315508022,5.271733
1733,五鼎,sii,生技醫療業,31.529418063446073,2131656.0,2244176.0,1676537.0,1852211.0,1944907.0,5.278525240470322,-25.293871781892328,10.478384908892547,5.0046134052761815,-3.81,26.810704916740786,27.700090544175122,0.8893856274343364,9.614543810070668,7.235615893202091,-2.3789279168685766,1.63,8.716325668675053,8.382817276095977,32.3,17.0,1.74,4.02,32.283912016,3.8736569717113456,0.692770318796426,26.299999237060547,33.29999923706055,29.149999618530273,32.400001525878906,-12.46246160243637,11.149234819484,1.3
1470,大統新創,sii,紡織纖維,27.475436444017344,894789.0,845152.0,655221.0,788039.0,803710.0,-5.547341328514321,-22.472998939835676,20.27071781887333,1.9886071628434587,-9.42,21.359337229223875,24.188326635229124,2.828989406005249,8.896510797517628,10.392056836421098,1.4955460389034698,0.78,6.6369738596077505,8.36931231414316,24.5,18.85,2.08,2.65,21.012915,4.418896213002456,0.5303630570668451,16.899999618530273,19.450000762939453,23.100000381469727,24.350000381469727,18.76606414065072,5.411255321894792,0.65
8404,百和興業-KY,sii,其他,25.784386893006403,10141094.0,8072805.0,5269433.0,7000097.0,7576734.0,-20.395126995174284,-34.72612059872622,32.84345773065147,8.237557279563411,4.82,37.433949433857926,38.48148819794914,1.0475387640912146,20.541975057128944,16.565620490306245,-3.9763545668226996,1.43,8.35398495977532,7.941271265429141,16.45,15.09,0.95,3.04,69.079123918,0.9093035281064996,0.36138648876318186,31.00324821472168,17.095237731933594,23.100000381469727,16.350000381469727,35.1253532925099,-29.22077873823192,0.5
2739,寒舍,sii,觀光餐旅,35.51077014853515,2333910.0,3422210.0,4831135.0,5033047.0,5169913.0,46.62990432364573,41.17003339946994,4.179390557291396,2.7193467495932433,3.92,8.069548525864322,39.86999394380524,31.80044541794092,-34.354709478943064,7.808680726348779,42.16339020529185,2.36,13.36464560204953,4.171385475925804,38.15,9.47,2.13,6.76,34.917169,0.6851941624819443,0.14082574563910927,26.929227828979492,58.79999923706055,33.650001525878906,38.25,-42.772105505964134,13.670128575130725,2.58
2471,資通,sii,資訊服務業,31.171998755518768,800734.0,802504.0,841834.0,877673.0,1000141.0,0.22104718920390454,4.900910151226667,4.257252617499407,13.953716247395098,8.03,41.684129810898504,43.40497989783441,1.7208500869359042,15.418853202186995,17.928872029043905,2.5100188268569106,3.63,18.11272757187063,17.171378835584182,49.55,10.24,2.71,6.68,23.414302495,2.4796801953426244,0.8398714076455414,24.75,58.20000076293945,50.79999923706055,49.79999923706055,-12.714779087410378,-1.968503966571833,3.311836
2109,華豐,sii,橡膠工業,38.44919693139698,5540899.0,5414345.0,4674300.0,4940875.0,4455631.0,-2.2839975967798742,-13.66822764341763,5.702992961512954,-9.821013484453667,-0.48,22.602252811321772,21.879100850137725,-0.7231519611840476,12.62827566429202,10.902451302632556,-1.7258243616594644,1.16,7.91624482335373,9.288583367877635,14.85,10.76,1.17,6.73,41.483346399,2.4717229228927695,0.5831871338193142,15.949999809265137,14.350000381469727,14.899999618530273,14.800000190734863,3.8327471947022795,-0.6711371164805024,0.5
